商品名称,类别,规格,单价(元),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g)
伊利纯牛奶,乳制品,250ml/盒,4.5,62,3.2,3.8,4.8
蒙牛纯牛奶,乳制品,250ml/盒,4.5,62,3.2,3.8,4.8
光明鲜牛奶,乳制品,950ml/瓶,13.9,62,3.1,3.6,4.9
特仑苏纯牛奶,乳制品,250ml/盒,7.5,62,3.6,4.4,4.8
金典纯牛奶,乳制品,250ml/盒,6.5,65,3.6,4.4,5.0
安慕希原味酸奶,乳制品,205g/瓶,5.5,103,2.8,3.1,16.6
简醇0蔗糖酸奶,乳制品,100g/杯,3.0,78,3.0,4.0,7.0
君乐宝简醇酸奶,乳制品,100g/杯,2.8,80,3.0,3.5,8.0
莫斯利安酸奶,乳制品,200g/瓶,6.5,108,2.7,3.2,17.9
旺仔牛奶,乳制品,245ml/罐,5.5,85,2.5,2.8,13.0
卡士原味酸奶,乳制品,125g/杯,4.0,95,3.4,3.2,13.0
光明白雪酸奶,乳制品,120g/杯,2.5,88,2.8,2.9,13.5
德亚全脂牛奶,乳制品,200ml/盒,3.5,61,3.3,3.5,4.8
纽仕兰全脂牛奶,乳制品,250ml/盒,6.0,66,3.5,3.7,4.9
飞鹤星飞帆奶粉,乳制品,900g/罐,248.0,510,20.0,22.0,58.0
君乐宝至臻奶粉,乳制品,800g/罐,168.0,505,19.0,21.0,60.0
蒙牛高钙奶,乳制品,250ml/盒,4.0,63,3.2,3.6,5.0
伊利舒化奶,乳制品,250ml/盒,4.5,60,3.0,3.3,5.2
三元纯牛奶,乳制品,250ml/盒,4.0,61,3.1,3.5,4.9
卫岗纯牛奶,乳制品,250ml/盒,3.8,60,3.0,3.4,4.9
认养一头牛纯牛奶,乳制品,250ml/盒,5.0,62,3.3,3.6,4.9
妙可蓝多奶酪棒,乳制品,90g/袋,12.9,290,12.0,20.0,12.0
安佳黄油,乳制品,454g/块,32.9,717,0.9,81.1,0.1
总统淡奶油,乳制品,200ml/盒,15.9,340,2.3,35.0,3.5
马苏里拉芝士碎,乳制品,200g/袋,19.9,330,25.0,26.0,3.0
可口可乐,饮料,500ml/瓶,3.0,42,0,0,10.6
百事可乐,饮料,500ml/瓶,3.0,42,0,0,10.6
雪碧,饮料,500ml/瓶,3.0,41,0,0,10.3
芬达橙味,饮料,500ml/瓶,3.0,42,0,0,10.5
农夫山泉东方树叶绿茶,饮料,500ml/瓶,4.5,0,0,0,0
农夫山泉东方树叶红茶,饮料,500ml/瓶,4.5,0,0,0,0
康师傅冰红茶,饮料,500ml/瓶,3.5,45,0,0,11.2
