task_id,query,task_type,standard_answer
1,查询纯牛奶的单价、每100g能量和蛋白质含量,信息抽取,"伊利纯牛奶 单价4.5元/250ml盒, 每100g能量62kcal, 蛋白质3.2g"
2,找出所有类别为乳制品的商品,筛选检索,乳制品共29条: 伊利纯牛奶、蒙牛纯牛奶、光明鲜牛奶、特仑苏纯牛奶、金典纯牛奶、安慕希原味酸奶、简醇0蔗糖酸奶、君乐宝简醇酸奶、莫斯利安酸奶、旺仔牛奶、卡士原味酸奶、光明白雪酸奶、德亚全脂牛奶、纽仕兰全脂牛奶、飞鹤星飞帆奶粉、君乐宝至臻奶粉、蒙牛高钙奶、伊利舒化奶、三元纯牛奶、卫岗纯牛奶、认养一头牛纯牛奶、妙可蓝多奶酪棒、安佳黄油、总统淡奶油、马苏里拉芝士碎、安佳黄油(家庭装)、三元纯牛奶(家庭装)、飞鹤星飞帆奶粉(家庭装)、旺仔牛奶(家庭装)
3,计算100g花生的蛋白质和脂肪总和(g),数值计算,花生(花生米) 蛋白质25g + 脂肪44g = 69g/100g
4,可乐和雪碧哪个碳水含量更高,推理问答,"可乐(10.6g) > 雪碧(10.3g), 可乐碳水更高"
5,查询全麦面包的规格和单价,信息抽取,"全麦面包 规格400g/袋, 单价9.9元"
6,找出单价大于10元的烘焙类商品,筛选检索,烘焙类单价>10元: 曼可顿全麦面包、盼盼手撕面包、鸡蛋仔(预拌粉)、牛角包(冷冻)、欧包(杂粮)、蛋糕卷(盒装)、麻薯(预拌粉)、达利园蛋黄派(家庭装)、康师傅3+2饼干(家庭装)、鸡蛋仔(预拌粉)(家庭装)
7,1盒250ml纯牛奶，估算总能量（基于每100ml能量）,数值计算,伊利纯牛奶 62kcal/100ml × 2.5 = 155kcal
8,对比鸡蛋和鸡胸肉，谁蛋白质含量更高,推理问答,"鸡胸肉(24.6g) > 鸡蛋(13.3g), 鸡胸肉蛋白质更高"
9,查询红烧牛肉面的能量、脂肪、碳水,信息抽取,"康师傅红烧牛肉面 能量463kcal, 脂肪19.6g, 碳水59.8g (每100g)"
10,找出能量大于400kcal/100g的零食商品,筛选检索,零食能量>400: 奥利奥饼干原味、奥利奥饼干巧克力味、乐事薯片原味、乐事薯片黄瓜味、乐事薯片烧烤味、可比克薯片、洽洽原味瓜子、洽洽焦糖瓜子、三只松鼠每日坚果、三只松鼠碧根果、三只松鼠夏威夷果、德芙丝滑牛奶巧克力、费列罗巧克力、士力架花生夹心、旺旺雪饼、旺旺仙贝、徐福记沙琪玛、盼盼法式软面包、卫龙辣条大面筋、三只松鼠海苔脆、波力海苔、盐津铺子辣条、咪咪虾条、上好佳鲜虾片、品客薯片、好丽友派、格力高百醇、旺仔小馒头、恰恰每日坚果、洽洽原味瓜子(家庭装)、咪咪虾条(家庭装)、格力高百醇(家庭装)
11,食用油类别商品平均单价是多少,数值计算,食用油类平均单价 = 83.61元
12,水果类商品普遍能量是否低于蔬菜类,推理问答,"水果均值能量=67.3, 蔬菜均值=41.4 → 蔬菜能量略低(水果更高)"
13,查询原味酸奶的类别、单价、蛋白质,信息抽取,"安慕希原味酸奶 类别乳制品, 单价5.5元, 蛋白质2.8g/100g"
14,找出碳水小于5g/100g的饮料商品,筛选检索,饮料碳水<5: 农夫山泉东方树叶绿茶、农夫山泉东方树叶红茶、农夫山泉矿泉水、百岁山矿泉水、怡宝纯净水、娃哈哈纯净水、元气森林气泡水白桃、元气森林气泡水卡曼橘、尖叫纤维饮料、椰子水
15,一袋150g薯片，总脂肪是多少克,数值计算,乐事薯片 35g脂肪/100g × 1.5 = 52.5g (以原味计)
16,坚果类商品和糖果类，哪一类平均能量更高,推理问答,"坚果均值=542.1, 糖果均值=389.4 → 坚果能量更高"
17,查询三文鱼的类别、单价和蛋白质含量,信息抽取,"三文鱼 类别水产, 单价45元/300g, 蛋白质20g/100g"
18,找出单价在3~8元之间的方便食品,筛选检索,方便食品单价3~8元: 康师傅红烧牛肉面、康师傅香辣牛肉面、康师傅老坛酸菜面、统一红烧牛肉面、统一老坛酸菜面、白象大骨汤面、今麦郎一桶半、汤达人日式豚骨面、出前一丁麻油味、合味道香辣海鲜、康师傅鲜虾鱼板面、阿宽红油面皮、五谷道场非油炸方便面、白象大骨汤面(家庭装)
19,比较100g米饭和100g红薯，哪个碳水更高,数值计算,"大米碳水77.9g vs 红薯20.7g → 大米(米饭原料)更高; 若直接按熟饭约25g, 仍米饭更高"
20,冰淇淋是否属于烘焙类别,推理问答,"否, 冰淇淋是独立类别, 不属于烘焙"
21,查询苹果的能量、碳水、规格,信息抽取,"苹果(红富士) 能量52kcal, 碳水13.7g, 规格500g/份"
22,找出蛋白质>20g/100g的肉类商品,筛选检索,肉类蛋白质>20: 鸡胸肉、猪里脊、猪蹄、牛里脊、腊肠(广式)、金华火腿、牛里脊(家庭装)
23,一瓶500ml可乐，总碳水是多少克,数值计算,可乐 10.6g/100ml × 5 = 53g
24,调味品的平均能量是否普遍偏低,推理问答,"调味品均值能量=213.8kcal, 整体偏低(盐、醋接近0)"
25,查询豆腐的类别、蛋白质、单价,信息抽取,"北豆腐 类别豆制品, 蛋白质9.2g/100g, 单价4.5元"
26,找出脂肪大于30g/100g的坚果商品,筛选检索,坚果脂肪>30: 核桃、巴旦木、腰果、开心果、榛子、夏威夷果、碧根果、松子、瓜子仁、花生米、每日坚果(混合)、开心果(家庭装)、花生米(家庭装)、每日坚果(混合)(家庭装)、巴旦木(家庭装)
27,200g鸡胸肉含有多少克蛋白质,数值计算,鸡胸肉 24.6g×2 = 49.2g
28,罐头速食和速冻食品哪个平均单价更高,推理问答,"罐头速食均值=14.8元, 速冻均值=16.8元 → 速冻食品平均单价更高"
29,查询铁观音茶的类别、单价、能量,信息抽取,"铁观音 类别茶酒, 单价68元/100g罐, 能量300kcal/100g"
30,找出能量小于80kcal/100g的新鲜水果,筛选检索,水果能量<80: 苹果(红富士)、橘子、橙子、梨(雪花梨)、葡萄、草莓、西瓜、桃子、火龙果、芒果、猕猴桃、蓝莓、车厘子、柚子(白肉)、菠萝、龙眼、荔枝、柠檬、哈密瓜、圣女果、石榴、草莓(家庭装)、橘子(家庭装)、菠萝(家庭装)
31,100g黄油+100g橄榄油，两者脂肪合计多少g,数值计算,黄油81.1 + 橄榄油99.9 = 181g
32,蛋类商品蛋白质是否普遍高于饮料类,推理问答,蛋类蛋白质均值=12.8 vs 饮料均值=0.6 → 蛋类显著更高
33,查询火腿肠的类别、脂肪、碳水,信息抽取,"双汇火腿肠 类别肉制品, 脂肪16g, 碳水10g (每100g)"
34,找出单价大于20元的水产类商品,筛选检索,水产单价>20: 基围虾、三文鱼、虾仁、螃蟹、小龙虾、鳕鱼、多宝鱼、河虾、螃蟹(家庭装)、生蚝(家庭装)、鱿鱼(家庭装)
35,300g橙子含有多少克碳水,数值计算,橙子 11.1g×3 = 33.3g
36,杂粮干货类商品碳水是否普遍很高,推理问答,"杂粮干货碳水均值=53.1g, 普遍偏高"
37,查询芒果的能量、蛋白质、单价,信息抽取,"芒果 能量60kcal, 蛋白质0.6g, 单价9.9元"
38,找出脂肪<5g/100g的蔬菜类商品,筛选检索,蔬菜脂肪<5: 西红柿、黄瓜、土豆、西兰花、菠菜、白菜、生菜、胡萝卜、白萝卜、茄子、青椒、豆角、芹菜、韭菜、洋葱、南瓜、冬瓜、莲藕、山药、金针菇、香菇、杏鲍菇、木耳(干)、蒜苔、莴笋、上海青、空心菜、油麦菜、芸豆、紫甘蓝、青椒(家庭装)、黄瓜(家庭装)、木耳(干)(家庭装)、茄子(家庭装)
39,一包120g饼干总能量是多少kcal,数值计算,饼干(苏打饼干420kcal) 若以苏打饼干计: 420×1.2=504kcal; 通用参考≈504kcal
40,白酒的碳水含量是否几乎为0,推理问答,"是, 白酒(42度以上)碳水为0g/100g"
41,查询老豆腐的类别、能量、蛋白质,信息抽取,"老豆腐 类别豆制品, 能量100kcal, 蛋白质10g (每100g)"
42,找出蛋白质<2g/100g的饮料商品,筛选检索,饮料蛋白质<2: 可口可乐、百事可乐、雪碧、芬达橙味、农夫山泉东方树叶绿茶、农夫山泉东方树叶红茶、康师傅冰红茶、统一冰红茶、汇源橙汁、汇源桃汁、农夫山泉NFC橙汁、美汁源果粒橙、王老吉凉茶、加多宝凉茶、红牛功能饮料、东鹏特饮、农夫山泉矿泉水、百岁山矿泉水、怡宝纯净水、娃哈哈纯净水、元气森林气泡水白桃、元气森林气泡水卡曼橘、雀巢咖啡丝滑拿铁、养乐多活性乳酸菌、脉动青柠味、尖叫纤维饮料、宝矿力水特、维他柠檬茶、椰子水、六个核桃、芬达橙味(家庭装)、农夫山泉NFC橙汁(家庭装)、宝矿力水特(家庭装)
43,计算100g牛肉+100g虾的总蛋白质,数值计算,牛腩17 + 基围虾18.2 = 35.2g
44,烘焙零食对比新鲜水果，哪个平均能量更高,推理问答,烘焙均值能量=389.0 vs 水果均值=67.3 → 烘焙更高
45,查询葡萄的规格、单价、碳水,信息抽取,"葡萄 规格500g/份, 单价8元, 碳水10.3g/100g"
46,找出单价小于5元的调味品,筛选检索,调味品单价<5: 中盐加碘盐、白糖、中盐加碘盐(家庭装)
47,250g米饭总碳水多少克,数值计算,大米 77.9g × 2.5 = 194.75g
48,冰淇淋脂肪是否普遍高于普通水果,推理问答,冰淇淋脂肪均值=13.4 vs 水果均值=1.7 → 冰淇淋脂肪更高
49,查询紫菜的类别、蛋白质、能量,信息抽取,"紫菜 类别水产, 蛋白质26.7g, 能量250kcal (每100g)"
50,找出能量大于500kcal/100g的食用油,筛选检索,食用油能量>500: 金龙鱼大豆油、鲁花花生油、金龙鱼调和油、福临门玉米油、胡姬花花生油、多力葵花籽油、金龙鱼菜籽油、鲁花菜籽油、橄榄油(特级初榨)、芝麻油、猪油、山茶油、葡萄籽油、核桃油、金龙鱼大豆油(家庭装)、鲁花菜籽油(家庭装)、福临门玉米油(家庭装)
51,一瓶330ml雪碧总能量多少kcal,数值计算,雪碧 41kcal/100ml × 3.3 = 135.3kcal
52,豆制品的蛋白质是否普遍高于蔬菜,推理问答,豆制品蛋白质均值=14.8 vs 蔬菜均值=2.1 → 豆制品显著更高
53,查询燕麦片的类别、单价、碳水,信息抽取,"燕麦片(即食) 类别主食, 单价12.9元, 碳水61g/100g"
54,找出碳水大于60g/100g的杂粮干货,筛选检索,杂粮干货碳水>60: 绿豆、红豆、薏米、莲子、银耳、枸杞、燕麦(整粒)、高粱米、荞麦米、鹰嘴豆、赤小豆、高粱米(家庭装)
55,180g酸奶含有多少蛋白质,数值计算,安慕希原味酸奶 2.8g × 1.8 = 5.04g
56,速冻食品和罐头食品，哪类脂肪均值更高,推理问答,速冻食品脂肪均值=9.7 vs 罐头速食均值=10.9 → 罐头速食略高(午餐肉等)
57,查询桃子的能量、脂肪、单价,信息抽取,"桃子 能量42kcal, 脂肪0.1g, 单价6元 (每100g)"
58,找出蛋白质在10~20g/100g之间的肉制品,筛选检索,肉制品蛋白质10~20: 
59,100g糖果+100g蜂蜜，总碳水是多少,数值计算,"糖果(大白兔440kcal,碳水78) + 蜂蜜(碳水80) → 碳水 78+80=158g"
60,蔬菜类商品单价是否普遍低于烘焙类,推理问答,蔬菜均价=5.2元 vs 烘焙均价=11.6元 → 蔬菜均价更低
61,查询鲈鱼的类别、蛋白质、单价,信息抽取,"鲈鱼 类别水产, 蛋白质18.6g/100g, 单价19.9元"
